               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12551,             0.55183,            0.082921,          0.00057461,           0.0011661,          0.00030018,          6.1592e-05,             0.12188,             0.49414,            0.082813,              0.0928,              0.0008,              0.0008
                   1,             0.12371,             0.45521,            0.082686,           0.0030218,           0.0056531,           0.0015698,          0.00034785,             0.11969,             0.41743,            0.082226,            0.084692,           0.0016916,           0.0016916
                   2,             0.11993,             0.42582,            0.082049,           0.0054387,           0.0084125,           0.0029191,          0.00076994,             0.11611,             0.41369,            0.081558,            0.076574,           0.0025743,           0.0025743
                   3,             0.11531,             0.43165,            0.080616,            0.007588,            0.011667,           0.0035278,          0.00091951,             0.11308,             0.48835,            0.079842,            0.068448,            0.003448,            0.003448
                   4,             0.11176,             0.45208,            0.079037,            0.010579,            0.016366,           0.0063703,           0.0018658,              0.1082,             0.40469,            0.077866,            0.060313,           0.0043129,           0.0043129
                   5,             0.10908,              0.4419,            0.077635,            0.015615,            0.022373,           0.0090166,           0.0027369,             0.10536,             0.39666,            0.076824,            0.052169,           0.0051688,           0.0051688
                   6,             0.10613,             0.43966,            0.076757,            0.056845,             0.02124,           0.0085361,           0.0023479,             0.10102,             0.47735,            0.076378,            0.044016,           0.0060159,           0.0060159
                   7,             0.10617,              0.4745,            0.076179,            0.021876,            0.026432,            0.010829,           0.0036392,             0.10181,             0.42411,            0.075436,            0.035854,            0.006854,            0.006854
                   8,             0.10153,             0.46839,            0.075537,             0.30725,            0.024954,           0.0081391,           0.0024657,             0.10292,             0.53882,            0.075138,            0.027683,           0.0076832,           0.0076832
                   9,            0.098932,             0.48563,            0.075169,             0.14899,            0.028911,            0.010652,           0.0032822,            0.095425,             0.51799,            0.074818,            0.019504,           0.0085035,           0.0085035
                  10,            0.097228,             0.50158,            0.074808,             0.18655,            0.030915,            0.011037,             0.00372,             0.09529,             0.50408,            0.074482,            0.011315,           0.0093149,           0.0093149
