               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.092344,             0.47747,            0.072361,            0.033081,             0.04512,            0.020817,           0.0097856,            0.082935,              0.4074,            0.071972,            0.006535,            0.006535,            0.006535
                  37,            0.087672,             0.47029,            0.072554,            0.038933,            0.046384,            0.024152,            0.010911,            0.082197,             0.40511,            0.071922,            0.006436,            0.006436,            0.006436
                  38,            0.090569,             0.45258,            0.072286,            0.032118,            0.043011,            0.018879,           0.0083806,            0.085986,             0.40702,            0.071934,            0.006337,            0.006337,            0.006337
                  39,            0.090254,             0.43946,            0.072593,            0.036723,            0.045918,            0.022421,             0.01033,            0.082996,             0.40937,            0.071888,            0.006238,            0.006238,            0.006238
                  40,            0.086676,             0.48787,            0.072435,            0.045495,            0.047852,            0.027369,            0.012688,            0.082785,             0.40784,            0.071907,            0.006139,            0.006139,            0.006139
                  41,            0.087672,             0.45163,            0.072432,            0.080558,            0.045883,            0.021801,            0.010159,            0.084911,             0.40292,             0.07177,             0.00604,             0.00604,             0.00604
                  42,            0.088392,             0.44689,            0.072314,            0.076736,            0.046293,            0.021007,           0.0096985,            0.085231,             0.40229,             0.07177,            0.005941,            0.005941,            0.005941
                  43,            0.087834,             0.48577,            0.072197,            0.039208,            0.048865,            0.023702,            0.011396,            0.080642,             0.40538,             0.07169,            0.005842,            0.005842,            0.005842
                  44,            0.085485,             0.47373,            0.072206,              0.0394,            0.048757,             0.02404,            0.011252,            0.081027,             0.40351,            0.071693,            0.005743,            0.005743,            0.005743
                  45,            0.087084,             0.46838,            0.071953,            0.039056,            0.049148,            0.024322,            0.011522,            0.082438,             0.40573,            0.071705,            0.005644,            0.005644,            0.005644
                  46,            0.084818,               0.447,            0.072364,            0.036723,            0.048182,             0.02311,            0.011027,             0.08333,             0.40136,            0.071732,            0.005545,            0.005545,            0.005545
                  47,            0.087238,             0.45304,            0.072178,            0.042189,            0.049272,            0.025722,             0.01214,            0.080699,             0.40071,            0.071644,            0.005446,            0.005446,            0.005446
                  48,            0.085865,             0.47031,            0.072141,            0.042382,             0.04912,            0.025749,            0.012363,            0.080289,             0.40171,            0.071632,            0.005347,            0.005347,            0.005347
                  49,             0.08795,             0.47449,            0.072046,            0.037259,            0.049325,             0.02325,             0.01103,             0.08197,             0.39977,            0.071587,            0.005248,            0.005248,            0.005248
                  50,            0.084734,             0.45185,            0.072035,            0.037086,            0.049172,            0.023113,            0.010982,            0.080805,              0.4028,            0.071564,            0.005149,            0.005149,            0.005149
                  51,            0.087799,             0.47516,            0.071932,            0.038904,            0.050255,            0.024122,            0.011735,            0.079115,             0.39964,            0.071609,             0.00505,             0.00505,             0.00505
                  52,            0.085104,             0.47232,            0.071989,            0.041942,            0.050855,            0.025799,            0.012265,            0.078787,             0.39982,            0.071587,            0.004951,            0.004951,            0.004951
                  53,            0.082704,              0.4482,            0.071997,             0.03601,            0.050762,            0.022615,            0.011074,            0.078974,              0.4013,            0.071548,            0.004852,            0.004852,            0.004852
                  54,            0.082792,             0.46411,            0.071998,            0.039584,            0.050859,            0.024539,            0.011148,            0.078863,             0.40184,             0.07148,            0.004753,            0.004753,            0.004753
                  55,             0.08391,             0.45482,            0.071894,            0.042136,            0.051089,            0.025907,            0.012271,            0.078783,             0.40769,            0.071442,            0.004654,            0.004654,            0.004654
                  56,            0.084756,             0.45428,            0.072008,            0.038857,            0.050266,             0.02403,             0.01149,            0.078882,              0.4026,            0.071449,            0.004555,            0.004555,            0.004555
                  57,            0.083099,              0.4489,            0.071854,             0.04034,            0.051023,            0.024854,            0.012383,            0.078456,             0.39847,            0.071419,            0.004456,            0.004456,            0.004456
                  58,            0.083717,             0.43475,            0.071794,             0.04016,            0.050989,            0.024856,            0.013021,            0.080198,             0.39961,            0.071377,            0.004357,            0.004357,            0.004357
                  59,            0.084456,             0.47875,            0.072127,            0.036904,            0.052037,            0.023397,            0.011769,            0.077617,             0.40269,            0.071293,            0.004258,            0.004258,            0.004258
                  60,            0.084429,             0.44762,            0.071808,            0.036747,             0.05201,            0.023365,            0.011739,            0.078125,              0.3981,            0.071278,            0.004159,            0.004159,            0.004159
                  61,            0.083204,             0.46634,            0.072007,             0.04106,            0.052566,            0.025587,            0.012536,            0.078064,             0.39534,            0.071289,             0.00406,             0.00406,             0.00406
                  62,            0.083807,             0.43792,            0.071881,            0.042096,            0.052882,            0.026061,            0.013015,            0.078501,             0.39641,            0.071312,            0.003961,            0.003961,            0.003961
                  63,            0.084336,              0.4604,            0.071569,            0.040105,            0.053191,            0.025099,            0.012612,            0.077256,             0.39752,            0.071312,            0.003862,            0.003862,            0.003862
                  64,            0.082041,             0.42926,            0.071892,            0.039115,            0.053387,            0.024734,            0.012295,            0.078049,             0.39553,            0.071274,            0.003763,            0.003763,            0.003763
                  65,            0.083148,             0.45418,            0.072099,            0.043091,            0.053559,            0.026726,             0.01352,            0.077272,             0.40076,            0.071266,            0.003664,            0.003664,            0.003664
                  66,            0.083589,             0.46337,            0.071767,             0.04111,            0.053649,            0.025815,            0.012976,            0.077308,             0.39988,            0.071228,            0.003565,            0.003565,            0.003565
                  67,            0.083249,             0.48126,            0.071736,             0.04657,            0.053893,            0.028525,            0.014503,            0.076948,             0.39567,            0.071232,            0.003466,            0.003466,            0.003466
                  68,            0.083399,             0.47239,             0.07168,            0.042689,            0.053574,            0.026477,             0.01346,            0.077056,             0.39452,            0.071182,            0.003367,            0.003367,            0.003367
                  69,            0.082505,             0.44843,            0.071619,            0.042219,            0.053403,            0.026279,             0.01341,            0.077652,             0.39415,            0.071152,            0.003268,            0.003268,            0.003268
                  70,            0.082177,             0.46706,            0.071568,            0.044159,            0.053971,              0.0274,            0.013977,            0.077037,             0.39447,            0.071121,            0.003169,            0.003169,            0.003169
                  71,            0.083192,             0.45894,            0.071728,            0.045538,            0.054159,            0.028036,            0.014242,             0.07659,             0.39484,            0.071117,             0.00307,             0.00307,             0.00307
                  72,            0.079458,             0.45453,            0.071698,            0.045668,            0.053605,            0.028029,            0.014035,            0.076718,             0.39486,            0.071102,            0.002971,            0.002971,            0.002971
                  73,            0.081293,             0.43195,            0.071688,            0.044991,            0.053316,            0.027651,            0.013841,            0.077175,             0.39528,            0.071098,            0.002872,            0.002872,            0.002872
                  74,            0.080655,             0.45653,            0.071577,            0.043696,            0.053591,            0.027052,            0.014382,            0.077225,             0.39193,            0.071098,            0.002773,            0.002773,            0.002773
