               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12466,             0.60244,              0.0825,          0.00051169,           0.0011801,          0.00026226,          6.1103e-05,             0.12263,              0.5123,            0.082214,              0.0928,              0.0008,              0.0008
                   1,             0.12275,             0.46319,            0.082333,           0.0029008,            0.002482,           0.0015569,          0.00024236,             0.12219,             0.44733,            0.082443,            0.084694,           0.0016944,           0.0016944
                   2,              0.1188,             0.42247,            0.081662,           0.0060108,           0.0077236,           0.0032449,          0.00076867,              0.1169,             0.38857,            0.080925,            0.076583,           0.0025828,           0.0025828
                   3,              0.1144,              0.4235,            0.080227,             0.09612,            0.012484,             0.00547,           0.0014725,             0.11798,             0.43244,            0.079048,            0.068465,           0.0034654,           0.0034654
                   4,             0.11059,             0.44318,            0.078389,             0.22101,            0.019691,           0.0064566,           0.0018447,             0.10492,             0.51806,             0.07719,            0.060342,           0.0043419,           0.0043419
                   5,             0.10608,             0.43792,            0.076926,             0.18252,            0.024387,           0.0089052,           0.0025339,              0.1067,             0.51465,            0.076164,            0.052213,           0.0052126,           0.0052126
                   6,             0.10434,             0.43125,            0.076119,             0.13867,            0.022415,           0.0072409,           0.0022767,             0.11218,             0.42394,            0.075642,            0.044077,           0.0060772,           0.0060772
                   7,             0.10832,             0.48887,            0.075614,             0.30602,            0.025169,           0.0078479,           0.0026293,             0.10386,             0.63754,            0.075455,            0.035936,            0.006936,            0.006936
                   8,             0.10049,              0.4725,            0.075248,             0.14605,            0.033837,            0.012549,           0.0046468,            0.092897,             0.40358,            0.074684,            0.027789,           0.0077888,           0.0077888
                   9,            0.096005,             0.48577,            0.074949,             0.10099,            0.029365,            0.010128,           0.0034298,             0.09477,             0.42516,            0.074471,            0.019636,           0.0086357,           0.0086357
                  10,            0.099313,             0.47869,            0.074627,             0.06274,            0.032812,            0.012733,           0.0055337,             0.10709,             0.39575,            0.074074,            0.011477,           0.0094766,           0.0094766
                  11,            0.096232,             0.47706,            0.074477,             0.35958,            0.035979,            0.015691,           0.0061679,             0.09868,              0.4956,            0.073929,            0.009637,            0.009637,            0.009637
                  12,             0.09591,             0.50675,            0.074185,             0.11327,            0.041473,            0.017261,            0.006754,            0.088851,             0.50384,            0.073814,            0.009637,            0.009637,            0.009637
                  13,            0.094169,             0.48918,            0.074093,             0.23517,            0.040153,            0.015473,           0.0060946,            0.094804,             0.49493,            0.073555,            0.009604,            0.009604,            0.009604
                  14,            0.090414,             0.47171,            0.074073,             0.22967,            0.039621,            0.013832,           0.0054703,            0.092023,             0.48923,            0.073448,            0.009571,            0.009571,            0.009571
                  15,            0.092098,             0.50082,            0.073948,            0.023361,            0.039935,            0.014698,            0.006157,             0.09026,             0.40315,            0.073273,            0.009538,            0.009538,            0.009538
                  16,            0.092818,             0.47396,            0.073639,            0.024804,            0.042696,            0.016047,           0.0071281,            0.087886,             0.41078,            0.073277,            0.009505,            0.009505,            0.009505
                  17,            0.091498,             0.49512,            0.073651,            0.026155,            0.040618,            0.016444,           0.0072739,            0.092231,             0.41529,             0.07328,            0.009472,            0.009472,            0.009472
                  18,            0.091072,             0.47676,            0.073682,            0.026153,            0.044245,            0.017396,           0.0076219,            0.089269,             0.39647,            0.073147,            0.009439,            0.009439,            0.009439
                  19,            0.093358,             0.46168,            0.073546,            0.030459,            0.047067,            0.019536,           0.0088954,            0.086755,             0.42657,            0.072849,            0.009406,            0.009406,            0.009406
                  20,            0.090579,             0.46867,            0.073499,             0.15501,            0.044396,             0.01694,            0.007392,            0.088312,             0.44561,            0.073036,            0.009373,            0.009373,            0.009373
                  21,             0.09004,             0.45302,            0.073195,             0.15666,            0.043904,            0.017283,           0.0075131,            0.088916,             0.43636,            0.072781,             0.00934,             0.00934,             0.00934
                  22,            0.089881,             0.46986,            0.073192,             0.03521,            0.044759,            0.022131,           0.0093539,              0.0836,              0.4374,            0.072708,            0.009307,            0.009307,            0.009307
                  23,            0.087688,             0.47277,            0.073068,            0.027947,            0.042058,            0.018253,            0.008134,            0.092968,             0.39913,            0.072613,            0.009274,            0.009274,            0.009274
                  24,            0.090147,             0.47245,            0.073079,            0.036667,            0.051196,            0.023718,            0.011281,             0.08266,             0.39296,            0.072502,            0.009241,            0.009241,            0.009241
                  25,            0.090151,             0.47405,            0.072862,            0.034515,            0.048136,            0.022419,            0.010533,            0.083294,             0.39298,             0.07254,            0.009208,            0.009208,            0.009208
                  26,            0.086838,             0.44512,            0.072985,            0.034517,            0.048961,            0.022608,            0.010726,            0.083245,             0.39739,            0.072598,            0.009175,            0.009175,            0.009175
                  27,            0.086813,             0.45609,            0.072807,            0.035453,            0.051087,            0.022518,            0.011047,            0.080356,             0.40407,            0.072346,            0.009142,            0.009142,            0.009142
                  28,            0.089309,             0.46109,            0.072867,            0.038457,            0.051901,            0.024655,            0.012602,            0.087526,             0.39126,            0.072342,            0.009109,            0.009109,            0.009109
                  29,            0.086777,             0.48324,            0.072938,            0.034217,            0.050672,            0.021723,            0.011104,            0.080037,             0.38981,            0.072376,            0.009076,            0.009076,            0.009076
                  30,            0.085694,              0.4535,             0.07277,            0.036688,            0.052542,            0.023652,            0.011598,             0.07951,             0.39649,            0.072277,            0.009043,            0.009043,            0.009043
                  31,             0.08155,             0.44786,            0.072875,             0.16344,            0.050076,            0.022021,            0.010752,              0.0834,              0.4029,            0.072121,             0.00901,             0.00901,             0.00901
                  32,             0.08665,             0.44753,            0.072723,            0.036993,            0.054505,            0.023949,            0.012491,            0.077083,              0.3959,            0.072132,            0.008977,            0.008977,            0.008977
